purchase_id,customer_id,purchase_date,product_name,category,quantity,price,total_spent,payment_method
1,1861,2023-01-01,Smartphone,Electronics,4,744.21,2976.84,Apple Pay
2,2295,2023-01-01,Blender,Home & Kitchen,1,264.134,264.134,Apple Pay
3,2131,2023-01-01,Jacket,Clothing,5,137.83,689.1500000000001,Debit Card
4,2096,,Shampoo,Beauty & Personal Care,1,14.58,14.58,PayPal
5,2639,2023-01-01,Dumbbells,Sports & Outdoors,4,32.4,129.6,Google Pay
6,3170,2023-01-01,Dumbbells,Sports & Outdoors,5,229.26,1146.3,Credit Card
7,1467,2023-01-01,Perfume,Beauty & Personal Care,1,5.69,5.69,Apple Pay
8,2239,2023-01-01,Dress,Clothing,5,120.66,603.3,Google Pay
9,1331,2023-01-01,Smartphone,Electronics,4,1186.38,4745.52,Google Pay
10,2483,2023-01-01,Vacuum Cleaner,Home & Kitchen,5,66.48,332.40000000000003,Apple Pay
11,3136,2023-01-01,Cycling Helmet,Sports & Outdoors,4,163.87,655.48,Debit Card
12,3920,2023-01-01,Blender,Home & Kitchen,5,23.49,117.44999999999999,Apple Pay
13,1131,2023-01-01,Smartphone,Electronics,5,763.28,3816.3999999999996,Google Pay
14,2686,2023-01-01,Yoga Mat,Sports & Outdoors,2,296.27,592.54,PayPal
15,1770,2023-01-01,Microwave,Home & Kitchen,4,385.45,1541.8,Debit Card
16,3392,2023-01-01,Laptop,Electronics,3,1125.34,3376.0199999999995,Apple Pay
17,2516,2023-01-01,Vacuum Cleaner,Home & Kitchen,5,247.15,1235.75,Credit Card
18,3854,2023-01-01,Dress,Clothing,1,74.04,74.04,Apple Pay
19,3434,2023-01-01,Smartphone,Electronics,2,572.4,1144.8,Google Pay
20,2216,2023-01-01,Vacuum Cleaner,Home & Kitchen,2,197.98,395.96,Google Pay
21,1956,2023-01-01,Jeans,Clothing,5,179.13,895.65,Credit Card
22,3325,2023-01-01,Dress,Clothing,3,199.89,599.67,Debit Card
23,2185,2023-01-01,Smartwatch,Electronics,2,998.53,1997.06,Google Pay
24,1460,2023-01-01,Shampoo,Beauty & Personal Care,4,94.39,377.56,Debit Card
25,1022,2023-01-01,Cycling Helmet,Sports & Outdoors,5,204.55,1022.75,Debit Card
26,3301,2023-01-01,Tablet,Electronics,5,516.28,2581.3999999999996,Apple Pay
27,1748,2023-01-01,Jacket,Clothing,3,20.88,62.64,Debit Card
28,3905,2023-01-01,T-Shirt,Clothing,4,77.65,310.6,Google Pay
29,1475,2023-01-02,Laptop,Electronics,4,463.28,1853.12,Google Pay
30,2083,2023-01-02,Lipstick,Beauty & Personal Care,3,14.52,43.56,PayPal
31,3559,2023-01-02,Running Shoes,Sports & Outdoors,1,145.22,145.22,Debit Card
32,3048,,Toaster,Home & Kitchen,4,355.19,1420.76,PayPal
33,3748,2023-01-02,Laptop,Electronics,1,897.74,897.74,Apple Pay
34,1976,,Dumbbells,Sports & Outdoors,1,268.07,268.07,PayPal
35,2807,2023-01-02,Running Shoes,Sports & Outdoors,5,54.58,272.9,Debit Card
36,1190,,T-Shirt,Clothing,5,124.36,621.8,Google Pay
37,3735,2023-01-02,Blender,Home & Kitchen,2,437.12,874.24,Apple Pay
38,1563,2023-01-02,Smartwatch,Electronics,5,407.41,2037.0500000000002,Debit Card
39,2900,2023-01-02,T-Shirt,Clothing,4,142.86,571.44,Apple Pay
40,2268,,Jacket,Clothing,4,164.86,659.44,Credit Card
41,3880,2023-01-02,Face Cream,Beauty & Personal Care,1,40.0,40.0,Debit Card
42,2529,2023-01-02,Tennis Racket,Sports & Outdoors,4,191.23,764.92,Credit Card
43,1647,2023-01-02,Headphones,Electronics,5,824.76,4123.8,PayPal
